domain,table,display_name,description,group
LABOS,appsession,Active application session,Holds active LabOS sessions and its metadata,Data
LABOS,eo,Edit Order details,"save the time and last log of starting edit order, on commit changes we check if the order has changes from start edit time.",Data
LABOS,h,History,History - entity history (currently we will handle the order entity),Data
LABOS,la,log action,log action,Data
LABOS,mrg,mrgdatatocopy,Documention not applied -LABOS-50351,Data
LABOS,ns,request extention - notification subscribe,"New service on LabOS, allow register/unregister on topic, registration will saved on ns table.",Data
LABOS,opae,order Payer with Eligibility data,order Payer with Eligibility data,Data
LABOS,rec,RecordingData,RecordingData - holds the recording additional data,Data
LABOS,routsched,routschedbagsstatus,Bags status of the route schedule visits,Data
LABOS,uak,User Access Keys,User Access Keys,Data
LABOS,uof,User out of office,table that contains user out of office messages details,Data
LABOS,wsr,web service request,Aa table to follow up on web service requests that are pending status update,Data
LABOS,suf,Shared Users Filters,save all shared Filters by Entity,Running
LABOS,tna,Multitenancy,Multi-tenancy,Running
LABOS,abrv,abbreviation,abbreviation - Keyboard shortcuts,Setup
LABOS,abrvu,AbbreviationUser,Abbreviation User - Keyboard shortcuts for user,Setup
LABOS,cool,cooler,cooler settings,Setup
LABOS,daa,DataAnalyticAggregator,aggregate data on the user's search,Setup
LABOS,das,DataAnalyticSummary,data on frequently used of users,Setup
LABOS,dg,Diagnosis,diagnosis list,Setup
LABOS,fa,Feature conversion,Holds data regarding feature conversions,Setup
LABOS,mgsc,Mutation Gene Shared Carrie,Mutation Gene Shared Carrie status calculation,Setup
LABOS,prj,prjformula,formula associated to a project,Setup
LABOS,qcrs,qcrs_orig,represent the orig qc value (result),Setup
LABOS,routsnd,routsnddemandenddate,on demand end date,Setup
LABOS,s,Senders,nan,Setup
LABOS,splchk,SpellCheck,Spell checker -hold the word that user choose to ignore in spell check,Setup
LABOS,sq,sqexclude,list of execlude user for a the schedule query . only user can be exclude (at the moment). the list will be separated with | .,Setup
LABOS,tnas,Multitenancy,Multi-tenancy setup,Setup
LABOS,ucool,ucooler,user default cooler,Setup
LABOS,uis,Ui Setting,Define UI (user-lab) customization setting - for now Laas dashboard,Setup
LABOS,urep,nan,nan,Setup
